Data1,Data2,Data3,Data4,Data5,Data6,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAATgABTNdRMR1G8z7mbYDmiFgsM93p+g==,QBXq3gAATgABTNdRMR3m8z6pbYDmiFgsM93p+g==,QBXq3gAATgABTNdRMR1G8z6pbYBJiFgs5t3p+g==,QBXq3gAATgABTNdRMR1G8z6pbYBJiOYsM93p+g==,,,0.886076, 2022-06-04T19:44:00Z, 1001362, 0.015659
QBXq3gAATwABs2p3HG2UUQXHXPBbEtFqWUtu4g==,QBXq3gAATwABs2p3HG2UUQXHXPBbEtFqWUtu4g==,QBXq3gAATwABs2p3HG2UUQXHXPBbEtFqWUtu4g==,QBXq3gAATwABs2p3HG2UUQXHXPBbEtFqWUtu4g==,,,0.887500, 2022-06-04T19:44:13Z, 1013968, 0.015685
QBXq3gAAUAAB7dBkBvGz5JtPm+5Pxx3TdIuXqQ==,QBXq3gAAUAAB7dBkBvFP5JsMm+5Pxx3TdIuXqQ==,QBXq3gAAUAAB7dBkBvGz5JsMm+6qxx3TT4uXqQ==,QBXq3gAAUAAB7dBkBvGz5JsMm+6qx0/TdIuXqQ==,,,0.888889, 2022-06-04T19:44:25Z, 1026649, 0.015709
QBXq3gAAUQABUFsFeVTCF4dXj8/PD2Qr1xHaMQ==,QBXq3gAAUQABUFsFeVTCF4dXj8/PD2Qr1xHaMQ==,QBXq3gAAUQABUFsFeVTCF4dXj8/PD2Qr1xHaMQ==,QBXq3gAAUQABUFsFeVTCF4dXj8/PD2Qr1xHaMQ==,,,0.890244, 2022-06-04T19:44:38Z, 1039307, 0.015734
QBXq3gAAUgAByF1VQL5qEhao+KmByk3MauyoWA==,QBXq3gAAUgAByF1VQL5qEhao+KmByk3MauyoWA==,QBXq3gAAUgAByF1VQL5qEhao+KmByk3MauyoWA==,QBXq3gAAUgAByF1VQL5qEhao+KmByk3MauyoWA==,,,0.891566, 2022-06-04T19:44:51Z, 1051979, 0.015757
QBXq3gAAUwAB3h5jZFe+aGMhA/wlGMLMC52YNQ==,QBXq3gAAUwAB3h5jZFe+aGMhA/wlGMLMC52YNQ==,QBXq3gAAUwAB3h5jZFe+aGMhA/wlGMLMC52YNQ==,QBXq3gAAUwAB3h5jZFe+aGMhA/wlGMLMC52YNQ==,,,0.892857, 2022-06-04T19:45:03Z, 1064653, 0.015780
QBXq3gAAVAABDSheMgZMk92tvJ6t2NvcPd2tTg==,QBXq3gAAVAABDSheMgatk91zvJ6t2NvcPd2tTg==,QBXq3gAAVAABDSheMgZMk91zvJ6j2Nvcrd2tTg==,QBXq3gAAVAABDSheMgZMk91zvJ6j2K3cPd2tTg==,,,0.894118, 2022-06-04T19:45:16Z, 1077555, 0.015799
QBXq3gAAVQAB15EYJt3L4vrnwlbnzW8p08vFHw==,QBXq3gAAVQAB15EYJt3n4vpjwlbnzW8p08vFHw==,QBXq3gAAVQAB15EYJt3L4vpjwlYJzW8p58vFHw==,QBXq3gAAVQAB15EYJt3L4vpjwlYJzecp08vFHw==,,,0.895349, 2022-06-04T19:45:29Z, 1090098, 0.015822
QBXq3gAAVgABaAp1s17U9YZhYxrZizh3viZAGQ==,QBXq3gAAVgABaAp1s17U9YZhYxrZizh3viZAGQ==,QBXq3gAAVgABaAp1s17U9YZhYxrZizh3viZAGQ==,QBXq3gAAVgABaAp1s17U9YZhYxrZizh3viZAGQ==,,,0.896552, 2022-06-04T19:45:41Z, 1102670, 0.015845
QBXq3gAAVwAB+0ptX4zOViuO7tChrDhbIYkjJA==,QBXq3gAAVwAB+0ptX4zOViuO7tChrDhbIYkjJA==,QBXq3gAAVwAB+0ptX4zOViuO7tChrDhbIYkjJA==,QBXq3gAAVwAB+0ptX4zOViuO7tChrDhbIYkjJA==,,,0.897727, 2022-06-04T19:45:54Z, 1115340, 0.015866
QBXq3gAAWAABivRX/uPj13JAsdlAtlMXiRnLJQ==,QBXq3gAAWAABivRX/uNA13K7sdlAtlMXiRnLJQ==,QBXq3gAAWAABivRX/uPj13K7sdlitlMXQBnLJQ==,QBXq3gAAWAABivRX/uPj13K7sdlitkAXiRnLJQ==,,,0.898876, 2022-06-04T19:46:07Z, 1128226, 0.015883
QBXq3gAAWQABfqJAtX8tKgZNM65z2Smi0tPurg==,QBXq3gAAWQABfqJAtX8tKgZNM65z2Smi0tPurg==,QBXq3gAAWQABfqJAtX8tKgZNM65z2Smi0tPurg==,QBXq3gAAWQABfqJAtX8tKgZNM65z2Smi0tPurg==,,,0.900000, 2022-06-04T19:46:19Z, 1140690, 0.015906
QBXq3gAAWgABG9207Xpn4ro2J0c2O0ClODUHXA==,QBXq3gAAWgABG9207Xo24rqIJ0c2O0ClODUHXA==,QBXq3gAAWgABG9207Xpn4rqIJ0e+O0ClNjUHXA==,QBXq3gAAWgABG9207Xpn4rqIJ0e+OzalODUHXA==,,,0.901099, 2022-06-04T19:46:32Z, 1153574, 0.015923
QBXq3gAAWwAB47/64Xcd86TiWb3iR2C9gJ8nZQ==,QBXq3gAAWwAB47/64Xfi86ToWb3iR2C9gJ8nZQ==,QBXq3gAAWwAB47/64Xcd86ToWb1HR2C94p8nZQ==,QBXq3gAAWwAB47/64Xcd86ToWb1HR+K9gJ8nZQ==,,,0.891304, 2022-06-04T19:46:45Z, 1166251, 0.015750
QBXq3gAAXAAB85MGm96WtYyb8zeb97MK19VKBQ==,QBXq3gAAXAAB85MGm96btYzl8zeb97MK19VKBQ==,QBXq3gAAXAAB85MGm96WtYzl8zfk97MKm9VKBQ==,QBXq3gAAXAAB85MGm96WtYzl8zfk95sK19VKBQ==,,,0.881720, 2022-06-04T19:46:58Z, 1178916, 0.015580
QBXq3gAAXQABEOFiYzRdqNZVnoy3F7h5hpiTsA==,QBXq3gAAXQABEOFiYzRdqNZVnoy3F7h5hpiTsA==,QBXq3gAAXQABEOFiYzRdqNZVnoy3F7h5hpiTsA==,QBXq3gAAXQABEOFiYzRdqNZVnoy3F7h5hpiTsA==,,,0.882979, 2022-06-04T19:47:10Z, 1191371, 0.015606
QBXq3gAAXgABp0Bh8n6gL6rVRvx6Ubfr7cJ2Fg==,QBXq3gAAXgABp0Bh8n6gL6rVRvx6Ubfr7cJ2Fg==,QBXq3gAAXgABp0Bh8n6gL6rVRvx6Ubfr7cJ2Fg==,QBXq3gAAXgABp0Bh8n6gL6rVRvx6Ubfr7cJ2Fg==,,,0.884211, 2022-06-04T19:47:23Z, 1204043, 0.015627
QBXq3gAAXwABBzJqI0nkEizGtQHGXat4kDL+2g==,QBXq3gAAXwABBzJqI0nGEiyDtQHGXat4kDL+2g==,QBXq3gAAXwABBzJqI0nkEiyDtQFnXat4xjL+2g==,QBXq3gAAXwABBzJqI0nkEiyDtQFnXcZ4kDL+2g==,,,0.885417, 2022-06-04T19:47:35Z, 1216714, 0.015649
