TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,Received3,TotalTime3,TotalPower3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
587019,1,0.516852,0.581658,0.527465,0.580026,0.000000,0.000000,0.000000,0.000000,0.516852,0.997130,48.000000,9.000000,0.000000,0.594750,0.714286,0.637465,10.000000,1.000000,0.964167,0.762712,0.782815,9.000000,0.000000,0.606962,0.818182,10304.000000,12.058624,12271.364096,0.748409,9.000000,0.000000,0.667445,0.714286,0.776569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:06:58Z
616122,0,0.485377,0.581658,0.527465,0.580026,0.000000,0.000000,0.000000,0.000000,0.485377,0.994594,48.000000,10.000000,1.000000,0.804569,0.725806,0.650465,10.000000,1.000000,0.964167,0.762712,0.771876,9.000000,0.000000,0.606962,0.818182,10976.000000,12.737536,13044.644864,0.755559,9.000000,0.000000,0.667445,0.714286,0.780829,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:07:27Z
618244,2,0.485377,0.581658,0.493750,0.580026,0.000000,0.000000,0.000000,0.000000,0.485377,0.992749,48.000000,10.000000,1.000000,0.804569,0.725806,0.650465,10.000000,1.000000,0.964167,0.762712,0.766892,10.000000,1.000000,0.818448,0.806452,11200.000000,12.963840,13302.405120,0.757758,9.000000,0.000000,0.667445,0.714286,0.780829,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:07:30Z
619169,3,0.485377,0.581658,0.493750,0.488026,0.000000,0.000000,0.000000,0.000000,0.485377,0.993874,48.000000,10.000000,1.000000,0.804569,0.725806,0.650465,10.000000,1.000000,0.964167,0.762712,0.766892,10.000000,1.000000,0.818448,0.806452,11200.000000,12.963840,13302.405120,0.757758,10.000000,1.000000,0.808961,0.725806,0.782815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:07:31Z
637244,1,0.485377,0.553325,0.493750,0.488026,0.000000,0.000000,0.000000,0.000000,0.485377,0.996938,48.000000,10.000000,1.000000,0.804569,0.725806,0.648051,9.000000,0.000000,0.636720,0.781250,0.757758,10.000000,1.000000,0.818448,0.806452,11424.000000,13.375488,13673.711616,0.753563,10.000000,1.000000,0.808961,0.725806,0.777174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:07:49Z
666328,0,0.567168,0.553325,0.493750,0.488026,0.000000,0.000000,0.000000,0.000000,0.488026,0.995564,48.000000,9.000000,0.000000,0.652649,0.746269,0.644860,9.000000,0.000000,0.636720,0.781250,0.759873,10.000000,1.000000,0.818448,0.806452,11872.000000,14.198784,14416.324608,0.745821,10.000000,1.000000,0.808961,0.725806,0.762194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:08:18Z
669359,3,0.567168,0.553325,0.493750,0.621867,0.000000,0.000000,0.000000,0.000000,0.493750,0.993397,48.000000,9.000000,0.000000,0.652649,0.746269,0.644860,9.000000,0.000000,0.636720,0.781250,0.761909,10.000000,1.000000,0.818448,0.806452,12096.000000,14.610432,14787.631104,0.742242,9.000000,0.000000,0.715592,0.746269,0.757758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:08:21Z
678382,2,0.567168,0.553325,0.616805,0.621867,0.000000,0.000000,0.000000,0.000000,0.553325,0.997419,48.000000,9.000000,0.000000,0.652649,0.746269,0.644860,9.000000,0.000000,0.636720,0.781250,0.763870,9.000000,0.000000,0.709767,0.808824,12320.000000,15.022080,15158.937600,0.738838,9.000000,0.000000,0.715592,0.746269,0.757758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:08:30Z
697467,1,0.567168,0.494913,0.616805,0.621867,0.000000,0.000000,0.000000,0.000000,0.494913,0.992188,48.000000,9.000000,0.000000,0.652649,0.746269,0.648496,10.000000,1.000000,0.820376,0.785714,0.767586,9.000000,0.000000,0.709767,0.808824,12320.000000,15.022080,15158.937600,0.738838,9.000000,0.000000,0.715592,0.746269,0.759873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:08:49Z
749702,3,0.567168,0.494913,0.616805,0.490388,0.000000,0.000000,0.000000,0.000000,0.490388,0.990645,48.000000,9.000000,0.000000,0.652649,0.746269,0.652017,10.000000,1.000000,0.820376,0.785714,0.752406,9.000000,0.000000,0.709767,0.808824,13216.000000,15.927296,16189.978624,0.747129,10.000000,1.000000,0.812876,0.733333,0.767586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:09:41Z
